Test_0MPa_e1,Test_0MPa_s1,Test_0MPa_e3,Test_0MPa_s2,Test_10MPa_e1,Test_10MPa_s1,Test_10MPa_e3,Test_10MPa_s2,Test_20MPa_e1,Test_20MPa_s1,Test_20MPa_e3,Test_20MPa_s2,FEM_0MPa_e1,FEM_0MPa_s1,FEM_0MPa_e3,FEM_0MPa_s2,FEM_10MPa_e1,FEM_10MPa_s1,FEM_10MPa_e3,FEM_10MPa_s2,FEM_20MPa_e1,FEM_20MPa_s1,FEM_20MPa_e3,FEM_20MPa_s2
-4.19E-06,0.60197,0,0.60197,0,0.23349,-1.98E-05,0.23349,6.09E-07,0.71206,0,0.71206,0,0,0,0,0,0,0.00E+00,0,0,0,0,0
5.39E-06,2.20722,-2.48E-06,2.20722,3.88E-05,1.35717,-2.22E-05,1.35717,4.63E-05,2.1074,-7.51E-06,2.1074,4.00E-06,0.110792464,-8.80E-07,0.110792464,4.00E-06,0.110796,-1.00E-06,0.110796,1.20E-05,0.33256,-2.64E-06,0.33256
3.40E-06,3.57169,-1.48E-05,3.57169,7.96E-05,2.40058,-2.97E-05,2.40058,9.96E-05,3.50274,-1.75E-05,3.50274,8.00E-06,0.221589282,-1.76E-06,0.221589282,8.00E-06,0.22159,-2.00E-06,0.22159,2.40E-05,0.66509,-5.28E-06,0.66509
2.65E-05,4.33418,-1.48E-05,4.33418,1.15E-04,3.52425,-3.71E-05,3.52425,1.49E-04,4.76727,-2.50E-05,4.76727,1.20E-05,0.332386488,-2.64E-06,0.332386488,1.20E-05,0.332384,-3.00E-06,0.332384,3.60E-05,0.99764,-7.92E-06,0.99764
5.04E-05,4.69537,-1.73E-05,4.69537,1.55E-04,4.40715,-3.95E-05,4.40715,1.97E-04,5.94459,-4.26E-05,5.94459,1.60E-05,0.443188718,-3.52E-06,0.443188718,1.60E-05,0.443185,-4.00E-06,0.443185,4.80E-05,1.33021,-1.06E-05,1.33021
7.22E-05,5.09668,-1.98E-05,5.09668,1.96E-04,5.45056,-4.20E-05,5.45056,2.46E-04,7.25272,-5.26E-05,7.25272,2.00E-05,0.553995452,-4.40E-06,0.553995452,2.00E-05,0.553993,-5.00E-06,0.553993,6.00E-05,1.66275,-1.32E-05,1.66275
9.02E-05,5.49799,-1.73E-05,5.49799,2.33E-04,6.57424,-4.20E-05,6.57424,2.96E-04,8.47364,-6.51E-05,8.47364,3.20E-05,0.886436541,-7.04E-06,0.886436541,3.20E-05,0.886437,-7.00E-06,0.886437,7.20E-05,1.99533,-1.58E-05,1.99533
1.13E-04,5.81904,-1.98E-05,5.81904,2.72E-04,7.53739,-5.19E-05,7.53739,3.51E-04,9.73816,-7.01E-05,9.73816,4.40E-05,1.218805824,-9.68E-06,1.218805824,4.40E-05,1.218803,-1.00E-05,1.218803,8.40E-05,2.32789,-1.85E-05,2.32789
1.38E-04,6.22036,-2.22E-05,6.22036,3.13E-04,8.5808,-5.68E-05,8.5808,3.97E-04,11.0899,-8.01E-05,11.0899,5.60E-05,1.551192369,-1.23E-05,1.551192369,5.60E-05,1.551193,-1.30E-05,1.551193,9.60E-05,2.66046,-2.11E-05,2.66046
1.58E-04,6.62167,-1.98E-05,6.62167,3.50E-04,9.54396,-5.93E-05,9.54396,4.50E-04,12.39803,-8.77E-05,12.39803,6.80E-05,1.883608497,-1.50E-05,1.883608497,6.80E-05,1.883607,-1.50E-05,1.883607,1.06E-04,2.93762,-2.33E-05,2.93762
